date,previous_date,retailer_id,retailer_name,ipca_item_id,ipca_code,relative,product_pair_count
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1112003,1112003,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1112003,1112003,1.000000000000,5
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1112018,1112018,1.000000000000,4
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1112018,1112018,1.000000000000,5
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1112018,1112018,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1112019,1112019,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1112019,1112019,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1112019,1112019,1.000000000000,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1112019,1112019,1.000000000000,4
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1113013,1113013,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1113013,1113013,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1113014,1113014,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1113040,1113040,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1114001,1114001,1.000000000000,3
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1114001,1114001,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1114001,1114001,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1114022,1114022,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1114022,1114022,1.000000000000,2
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1114083,1114083,0.974550534205,2
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1114083,1114083,1.000000000000,5
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1114084,1114084,1.006770686921,3
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1114087,1114087,1.000000000000,3
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1114087,1114087,1.000000000000,10
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1114090,1114090,0.664429530201,2
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1115016,1115016,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1115057,1115057,1.567107750473,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1115057,1115057,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1115075,1115075,0.923002887392,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1115075,1115075,1.000000000000,1
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1116005,1116005,1.000000000000,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1116005,1116005,1.000000000000,2
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1116010,1116010,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1116010,1116010,1.000000000000,1
2026-07-12,2026-07-11,st-marche,St Marché,ipca-sp-1116033,1116033,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1116041,1116041,1.000000000000,3
2026-07-12,2026-07-11,carrefour,Carrefour Mercado,ipca-sp-1116071,1116071,0.096339113680,1
2026-07-12,2026-07-11,extra-mercado,Extra Mercado,ipca-sp-1116071,1116071,1.000000000000,1
2026-07-12,2026-07-11,pao-de-acucar,Pão de Açúcar,ipca-sp-1116071,1116071,1.000000000000,1
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1101002,1101002,1.000000000000,1
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1101002,1101002,1.000000000000,2
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1102006,1102006,1.000000000000,2
2026-07-13,2026-07-12,extra-mercado,Extra Mercado,ipca-sp-1102006,1102006,1.000000000000,3
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1102029,1102029,1.000000000000,1
2026-07-13,2026-07-12,st-marche,St Marché,ipca-sp-1102029,1102029,1.000000000000,1
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1102061,1102061,1.000000000000,1
2026-07-13,2026-07-12,extra-mercado,Extra Mercado,ipca-sp-1102061,1102061,1.000000000000,1
2026-07-13,2026-07-12,st-marche,St Marché,ipca-sp-1102061,1102061,1.000000000000,1
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-13,2026-07-12,extra-mercado,Extra Mercado,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1103003,1103003,1.000000000000,1
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1103020,1103020,1.000000000000,1
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-13,2026-07-12,extra-mercado,Extra Mercado,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1103028,1103028,1.000000000000,1
2026-07-13,2026-07-12,extra-mercado,Extra Mercado,ipca-sp-1103044,1103044,1.000000000000,1
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1104023,1104023,1.000000000000,8
2026-07-13,2026-07-12,extra-mercado,Extra Mercado,ipca-sp-1104023,1104023,1.022535200155,6
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1104023,1104023,1.000000000000,4
2026-07-13,2026-07-12,st-marche,St Marché,ipca-sp-1104023,1104023,1.000000000000,4
2026-07-13,2026-07-12,carrefour,Carrefour Mercado,ipca-sp-1104032,1104032,1.046629729157,2
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1104032,1104032,1.032990406709,6
2026-07-13,2026-07-12,st-marche,St Marché,ipca-sp-1104032,1104032,1.000000000000,5
2026-07-13,2026-07-12,pao-de-acucar,Pão de Açúcar,ipca-sp-1104052,1104052,1.000000000000,2
